PamKlgMap1I	2024-03-10	N	Series|NA|Idol Throwdown|v. 3.0	
XoyFaklWbak	2023-10-15	N	v. 2.0|Seiso na Aidoru|SA|Series	
817	pe	sayoni	ak	Chiro	1
1447	pe	sayoni	ak	Chiro	1
1645	bo	Camelo	su	Metaking	1
1891	bo	Camelo	su	Metaking	2
2347	su	Metaking	bo	Camelo	2
2789	ko	SEDEX | pacote	su	PratesKun	2
2895	ko	SEDEX | pacote	su	PratesKun	1
3010	ko	SEDEX | pacote	su	PratesKun	2
3559	su	MagnumGear	co	Counter_Abbysairaf	1
3652	su	MagnumGear	co	Counter_Abbysairaf	1
3976	su	PratesKun	fu	SEDEX | Encomenda	2
4085	su	PratesKun	fu	SEDEX | Encomenda	1
4342	su	PratesKun	fu	SEDEX | Encomenda	2
4591	su	MagnumGear	ay	Ikkisoad	1
4749	su	MagnumGear	ay	Ikkisoad	2
4900	su	MagnumGear	ay	Ikkisoad	1
5233	su	Camelo	co	Counter_Abbysairaf	2
5331	bo	Camelo	co	Counter_Abbysairaf	1
5427	bo	Camelo	co	Counter_Abbysairaf	1
5662	su	Metaking	pe	sayoni	2
5840	su	Metaking	pe	sayoni	1
5973	su	Metaking	pe	sayoni	1
6286	su	PratesKun	bo	Camelo	2
6511	su	PratesKun	bo	Camelo	2
6736	ay	Ikkisoad	su	Metaking	1
6929	ay	Ikkisoad	su	Metaking	2
7092	ay	Ikkisoad	su	Metaking	2
7347	su	MagnumGear	fu	SEDEX | Encomenda	2
7474	su	MagnumGear	fu	SEDEX | Encomenda	2
7607	su	MagnumGear	fu	SEDEX | Encomenda	1
7823	su	MagnumGear	fu	SEDEX | Encomenda	2
8076	bo	Camelo	su	Metaking	1
8220	bo	Camelo	su	Metaking	1
8707	su	MagnumGear	bo	Camelo	2
8864	su	MagnumGear	bo	Camelo	2
8964	su	MagnumGear	bo	Camelo	2
9156	fu	SEDEX | Encomenda	bo	Camelo	1
9269	fu	SEDEX | Encomenda	bo	Camelo	1
9362	fu	SEDEX | Encomenda	bo	Camelo	1

-U2a_mAMzCs	2023-11-18	N	v. 3.0|Seiso na Aidoru|SA|Series	
775	ay	Beltenebris	fu	Daniel INSS	1
862	ay	Beltenebris	fu	Daniel INSS	1
1053	ay	AnotherNoob	ko	SEDEX | pacote	2
1181	ay	AnotherNoob	ko	SEDEX | pacote	2
1869	su	PratesKun	ay	Ikkisoad	2
2097	su	PratesKun	ay	Ikkisoad	2
2341	su	Metaking	ol	Chiro	1
2491	su	Metaking	ol	Chiro	1
2714	fu	SEDEX | Encomenda	ay	Ikkisoad	1
2803	fu	SEDEX | Encomenda	ay	Ikkisoad	1
3231	co	CodeEpsilon5	su	Metaking	2
3404	co	CodeEpsilon5	su	Metaking	1
3584	co	CodeEpsilon5	su	Metaking	1
4363	ko	SEDEX | pacote	ol	Chiro	1
4715	su	PratesKun	ay	Beltenebris	2
4873	su	PratesKun	ay	Beltenebris	2
5105	ay	Ikkisoad	ko	SEDEX | pacote	1
5232	ay	Ikkisoad	ko	SEDEX | pacote	1
5789	su	Metaking	ay	Beltenebris	2
5915	su	Metaking	ay	Beltenebris	2
6315	co	CodeEpsilon5	fu	SEDEX | Encomenda	1
6422	co	CodeEpsilon5	fu	SEDEX | Encomenda	1
6682	co	CodeEpsilon5	fu	SEDEX | Encomenda	2
6840	co	CodeEpsilon5	fu	SEDEX | Encomenda	2
6949	co	CodeEpsilon5	fu	SEDEX | Encomenda	2
7305	ay	Beltenebris	ay	Ikkisoad	2
7483	ay	Beltenebris	ay	Ikkisoad	1
7588	ay	Beltenebris	ay	Ikkisoad	1
7766	co	CodeEpsilon5	ay	Beltenebris	1
7887	co	CodeEpsilon5	ay	Beltenebris	1
7974	co	CodeEpsilon5	ay	Beltenebris	1
8420	fu	SEDEX | Encomenda	co	CodeEpsilon5	2
8644	fu	SEDEX | Encomenda	co	CodeEpsilon5	1
8819	fu	SEDEX | Encomenda	co	CodeEpsilon5	1
8951	fu	SEDEX | Encomenda	co	CodeEpsilon5	1

mnn2LiaccfI	2024-01-14	N	v. 3.0|Seiso na Aidoru|SA|Series	
956	ay	Beltenebris	ko	Ade20K	1
1052	ay	Beltenebris	ko	Ade20K	1
1304	ol	Javier	fu	Daniel INSS	1
1409	ol	Javier	fu	Daniel INSS	1
1842	ko	SEDEX | pacote	fu	SEDEX | Encomenda	2
1953	ko	SEDEX | pacote	fu	SEDEX | Encomenda	2
2386	bo	Camelo	su	PratesKun	1
2575	bo	Camelo	su	PratesKun	2
2767	bo	Camelo	su	PratesKun	1
3038	fu	SEDEX | Encomenda	ay	Beltenebris	1
3234	fu	SEDEX | Encomenda	ay	Beltenebris	1
3481	pe	LudgerKant	bo	Camelo	2
3663	pe	LudgerKant	bo	Camelo	2
3891	ol	Javier	su	PratesKun	1
4054	ol	Javier	pe	PratesKun	1
4315	bo	rogerio	co	CodeEpsilon5	2
4486	bo	rogerio	co	CodeEpsilon5	2
4879	ay	Beltenebris	ol	Javier	1
5338	co	CodeEpsilon5	pe	LudgerKant	2
5539	ay	CodeEpsilon5	pe	LudgerKant	2
5865	bo	Camelo	fu	SEDEX | Encomenda	2
5952	bo	Camelo	fu	SEDEX | Encomenda	2
6095	bo	Camelo	fu	SEDEX | Encomenda	1
6237	bo	Camelo	fu	SEDEX | Encomenda	2
6545	ay	Beltenebris	pe	LudgerKant	1
6793	ay	Beltenebris	pe	LudgerKant	2
7175	ay	Beltenebris	pe	LudgerKant	1
7497	bo	Camelo	ay	Beltenebris	1
7672	bo	Camelo	co	Beltenebris	1
7785	bo	Camelo	fu	Beltenebris	1
8194	bo	Camelo	fu	SEDEX | Encomenda	1
8350	bo	Camelo	fu	SEDEX | Encomenda	2
8603	bo	Camelo	fu	SEDEX | Encomenda	2
8812	bo	Camelo	fu	SEDEX | Encomenda	2

g5JFKaAVzBY	2024-03-02	N	Series|JP/SEA|Japan Night Showdown|v. 3.0|2v2	
22	so	motoyama	bo	heavy_ixia	2
205	so	motoyama	bo	heavy_ixia	1
386	so	motoyama	bo	heavy_ixia	2
548	co	AOI	fu	akira	1
655	co	AOI	fu	akira	1
779	co	AOI	bo	heavy_ixia	1
843	co	AOI	bo	heavy_ixia	2
958	co	AOI	bo	heavy_ixia	1

dqVLtp4BFYo	2024-03-02	N	Series|JP/SEA|Japan Night Showdown|v. 3.0|2v2	
16	ak	tetora	ol	simada	1
108	ak	tetora	ol	simada	1
219	so	matoi	ko	simada	2
336	so	matoi	ko	simada	2
506	ak	tetora	ko	simada	2
659	ak	tetora	ko	simada	2

fdQw9_kGOtk	2024-02-17	N	Series|JP/SEA|Japan Night Showdown|v. 3.0	
15	pe	Bob	co	AOI	1
173	pe	Bob	co	AOI	2
413	pe	Bob	co	AOI	2
629	pe	Bob	co	AOI	2
794	pe	Bob	co	AOI	1
921	pe	Bob	co	AOI	1

ACYkjRsxDAQ	2024-02-17	N	Series|JP/SEA|Japan Night Showdown|v. 3.0	
15	su	Koushun	co	AOI	2
146	su	Koushun	co	AOI	2

NEtPikV3J2k	2024-02-17	N	Series|JP/SEA|Japan Night Showdown|v. 3.0	
16	su	Koushun	pe	Bob	2
201	su	Koushun	pe	Bob	1
316	su	Koushun	pe	Bob	2

0juxz4Ukz-M	2024-02-03	N	Series|JP/SEA|Japan Night Showdown|v. 3.0|2v2	
20	bo	heavy_ixia	ak	LLon_Nu13	1
170	bo	heavy_ixia	ak	LLon_Nu13	1
360	fu	akira	ay	neddie	2
530	fu	akira	ay	neddie	2
684	bo	heavy_ixia	ay	neddie	2
809	bo	heavy_ixia	ay	neddie	2

V2CxdBwCjN0	2024-02-04	N	Series|JP/SEA|Japan Night Showdown|v. 3.0|2v2	
26	ol	MiD	bo	heavy_ixia	2
159	ol	MiD	bo	heavy_ixia	2
286	ak	tetora	fu	akira	2
471	ak	tetora	fu	akira	1
611	ak	tetora	fu	akira	1
770	ak	tetora	bo	heavy_ixia	1
967	ak	tetora	bo	heavy_ixia	2
1133	ak	tetora	bo	heavy_ixia	1

jCEshq1LySI	2024-02-04	N	Series|JP/SEA|Japan Night Showdown|v. 3.0|2v2	
17	ay	neddie	ak	tetora	2
135	ay	neddie	ak	tetora	2
314	ak	LLon_Nu13	ol	MiD	1
482	ak	LLon_Nu13	ol	MiD	2
610	ak	LLon_Nu13	ol	MiD	1
793	ak	LLon_Nu13	ak	tetora	2
1010	ak	LLon_Nu13	ak	tetora	2

Se4219MoNyE	2023-12-23	N	Series|JP/SEA|Japan Night Showdown|v. 3.0|2v2	
13	co	AOI	bo	heavy_ixia	1
165	co	AOI	bo	heavy_ixia	2
356	co	AOI	bo	heavy_ixia	1
563	so	motoyama	ay	wasa	1
689	so	motoyama	ay	wasa	1
787	so	motoyama	ay	wasa	1

okj5IcQGfzM	2023-12-23	N	Series|JP/SEA|Japan Night Showdown|v. 3.0|2v2	
12	ay	neddie	pe	mohikan	2
193	ay	neddie	pe	mohikan	1
391	ay	neddie	pe	mohikan	1
584	fu	akira	su	akagai	1
787	fu	akira	su	akagai	1

7bKOt2V351E	2023-12-23	N	Series|JP/SEA|Japan Night Showdown|v. 3.0|2v2	
13	bo	heavy_ixia	pe	mohikan	1
160	bo	heavy_ixia	pe	mohikan	1
304	pe	wasa	su	akagai	2
460	pe	wasa	su	akagai	1
552	pe	wasa	su	akagai	1

bQW7guVm3-4	2024-02-04	N	Idol Arena|Series|SA|v. 3.0|Exhibition	
190	su	MDX	co	Phantom	2
380	su	MDX	co	Phantom	1
468	su	MDX	co	Phantom	2
567	su	MDX	co	Phantom	2
652	su	MDX	co	Phantom	2
760	su	MDX	co	Phantom	2

LQHKi9vP6Qw	2024-02-04	N	Idol Arena|Series|SA|v. 3.0|Exhibition	
177	ol	Javier	fu	Seishin	2
367	ol	Javier	fu	Seishin	1
466	ol	Javier	fu	Seishin	2
628	ol	Javier	fu	Seishin	1
762	ol	Javier	fu	Seishin	2
956	ol	Javier	fu	Seishin	2
1049	ol	Javier	fu	Seishin	2
1273	ol	Javier	fu	Seishin	1
1396	ol	Javier	fu	Seishin	1
1559	ol	Javier	fu	Seishin	2
1677	ol	Javier	fu	Seishin	2

v41unlRKBFw	2024-02-04	N	Idol Arena|Series|SA|v. 3.0|Exhibition	
182	pe	LudgerKant	ay	Beltenebris	1
361	pe	LudgerKant	ay	Beltenebris	1
534	pe	LudgerKant	ay	Beltenebris	2
690	pe	LudgerKant	ay	Beltenebris	1
930	pe	LudgerKant	ay	Beltenebris	1
1131	pe	LudgerKant	ay	Beltenebris	1
1264	pe	LudgerKant	ay	Beltenebris	1
1432	pe	LudgerKant	fu	Beltenebris	2
1687	pe	LudgerKant	fu	Beltenebris	1
1832	pe	LudgerKant	fu	Beltenebris	2
2046	pe	LudgerKant	fu	Beltenebris	2
2299	pe	LudgerKant	fu	Beltenebris	1
2456	pe	LudgerKant	fu	Beltenebris	1
2618	pe	LudgerKant	fu	Beltenebris	1

ILTWDKcKo-I	2024-02-18	N	Idol Arena|Series|SA|v. 3.0|Exhibition	
239	ak	Ajosac96	su	Gatostada	1
345	ak	Ajosac96	su	Gatostada	1
439	ak	Ajosac96	su	Gatostada	1
580	ak	Ajosac96	su	Gatostada	1
664	ak	Ajosac96	su	Gatostada	1
758	ak	Ajosac96	su	Gatostada	1
873	ak	Ajosac96	su	Gatostada	1
993	ak	Ajosac96	su	Gatostada	1

amaIQIoWtX8	2024-02-25	N	Shiny Smily Showdown Turbo|SA|v. 3.0	
134	ol	Javier	ko	Arcroxus	1
262	ol	Javier	ko	Arcroxus	1
373	so	Udo5678	pe	NoisyBoy2020	1
672	so	Udo5678	pe	NoisyBoy2020	2
840	so	Udo5678	pe	NoisyBoy2020	2
1027	ay	Beltenebris	su	MDX	1
1143	ay	Beltenebris	su	MDX	1
1276	ol	Javier	ak	Ajosac96	1
1423	ol	Javier	ak	Ajosac96	1
1559	ol	Javier	ay	Beltenebris	2
1680	ol	Javier	ay	Beltenebris	2
2189	bo	Seishin	fu	K.O.D.	1
2274	bo	Seishin	fu	K.O.D.	1
2392	bo	Seishin	ay	Beltenebris	2
2498	bo	Seishin	ay	Beltenebris	1
2612	bo	Seishin	ay	Beltenebris	2
2739	bo	Seishin	ay	Beltenebris	2
2960	su	MDX	ol	Javier	2
3107	su	MDX	ol	Javier	2
3221	ol	Javier	bo	Seishin	2
3315	ol	Javier	bo	Seishin	2
3445	ol	Javier	bo	Seishin	2
3586	ay	Beltenebris	bo	Seishin	1
3749	ay	Beltenebris	bo	Seishin	2
3919	ay	Beltenebris	bo	Seishin	1
4124	ay	Beltenebris	bo	Seishin	1
4352	ay	Beltenebris	so	Richi87	2
4547	ay	Beltenebris	so	Richi87	1
4656	ay	Beltenebris	so	Richi87	1
4787	ay	Beltenebris	so	Richi87	1

4JnEuzNr4zc	2024-03-03	N	Idol Arena|Series|SA|v. 3.0|Exhibition	
220	fu	Luketaa	so	Udo5678	2
362	fu	Luketaa	so	Udo5678	2
533	fu	Luketaa	so	Udo5678	1
756	fu	Luketaa	so	Udo5678	1
944	fu	Luketaa	so	Udo5678	1
1061	fu	Luketaa	so	Udo5678	2
1272	fu	Luketaa	so	Udo5678	1
1453	fu	Luketaa	so	Udo5678	1

VtElEtw3Bm4	2024-03-03	N	Idol Arena|Series|SA|v. 3.0|Exhibition	
37	ay	Beltenebris	ol	Javier	1
163	ay	Beltenebris	ol	Javier	1
263	ay	Beltenebris	ol	Javier	1
447	ay	Beltenebris	ol	Javier	1
618	ay	Beltenebris	ol	Javier	1
718	ay	Beltenebris	ol	Javier	1
835	ay	Beltenebris	ol	Javier	1

IgLErRNp-HM	2024-03-03	N	Idol Arena|Series|SA|v. 3.0|Exhibition	
129	ak	Ajosac96	bo	Seishin	2
312	ak	Ajosac96	bo	Seishin	2
445	ak	Ajosac96	bo	Seishin	2
638	ak	Ajosac96	bo	Seishin	2
784	ak	Ajosac96	bo	Seishin	2
880	ak	Ajosac96	bo	Seishin	2
999	ak	Ajosac96	bo	Seishin	1
1114	ak	Ajosac96	bo	Seishin	2
1314	ak	Ajosac96	bo	Seishin	2
1504	ak	Ajosac96	bo	Seishin	2
1651	ak	Ajosac96	bo	Seishin	2
1862	ak	Ajosac96	bo	Seishin	2

N_5XiEd_Spg	2023-12-30	N	v. 3.0|EU|The Hollow Night|Series	
1220	ak	Edward Yolag	bo	FaceBreaker	1
1339	ak	Edward Yolag	bo	FaceBreaker	1
1530	ko	Kemo	ko	Exslide	2
1709	ko	Kemo	ko	Exslide	2
2008	ol	nulladept	fu	Lozardo	2
2077	ol	nulladept	fu	Lozardo	2
2324	ol	PedroAndalus	ak	Edward Yolag	2
2433	ko	PedroAndalus	ak	Edward Yolag	2
2646	fu	Lozardo	ko	Exslide	2
2873	fu	Lozardo	ko	Exslide	1
3006	fu	Lozardo	ko	Exslide	2
3339	ko	Kemo	ko	nulladept	2
3439	ol	Kemo	ko	nulladept	2
3596	ko	nulladept	ko	PedroAndalus	2
3705	ko	nulladept	ko	PedroAndalus	2
3943	fu	Lozardo	bo	FaceBreaker	1
4031	bo	Lozardo	bo	FaceBreaker	1
4391	ko	PedroAndalus	bo	FaceBreaker	1
4495	ko	PedroAndalus	bo	FaceBreaker	1
4827	ak	Edward Yolag	ko	Exslide	2
4959	ak	Edward Yolag	ko	Exslide	1
5184	ak	Edward Yolag	ko	Exslide	2
5371	ak	Edward Yolag	ko	Exslide	1
5569	ak	Edward Yolag	ko	Exslide	2
5903	ak	Edward Yolag	so	PedroAndalus	1
6041	ak	Edward Yolag	ko	PedroAndalus	1
6161	ak	Edward Yolag	ko	PedroAndalus	1
6384	ko	Exslide	ak	Edward Yolag	1
6593	ko	Exslide	ak	Edward Yolag	1
6802	ko	Exslide	ak	Edward Yolag	1

7ri2dwsrsF4	2023-12-23	N	Series|JP/SEA|Japan Night Showdown|v. 3.0|2v2	
12	ak	tetora	co	AOI	2
183	ak	tetora	co	AOI	2
314	ko	owata owana	so	motoyama	2
482	ko	owata owana	so	motoyama	2

0ODB9iDeAIo	2024-03-31	N	Series|JP/SEA|Japan Night Showdown|v. 3.0	
21	so	matoi	pe	Bob	2
105	so	matoi	pe	Bob	1
253	so	matoi	pe	Bob	1

Jvr33l59Xdc	2023-12-23	N	Series|JP/SEA|Japan Night Showdown|v. 3.0|2v2	
11	ak	tetora	pe	mohikan	1
182	ak	tetora	pe	mohikan	2
328	ak	tetora	pe	mohikan	2
422	ko	owata owana	su	akagai	1
615	ko	owata owana	su	akagai	1
810	ko	owata owana	su	akagai	1
924	ko	owata owana	su	akagai	1

twseNDHgpD8	2023-12-23	N	Series|JP/SEA|Japan Night Showdown|v. 3.0|2v2	
3	ay	neddie	bo	heavy_ixia	2
135	ay	neddie	bo	heavy_ixia	1
327	ay	neddie	bo	heavy_ixia	2
458	fu	akira	ay	wasa	1
589	fu	akira	ay	wasa	1
766	fu	akira	ay	wasa	2
886	fu	akira	ay	wasa	1
1046	fu	akira	ay	wasa	1

vYJM72nDqfw	2023-12-23	N	Series|JP/SEA|Japan Night Showdown|v. 3.0|2v2	
16	ak	tetora	ay	neddie	1
123	ak	tetora	ay	neddie	2
244	ak	tetora	ay	neddie	1
374	ko	owata owana	fu	akira	1
540	ko	owata owana	fu	akira	2
718	ko	owata owana	fu	akira	2
892	ko	owata owana	fu	akira	2
1147	ko	owata owana	fu	akira	2

OKHaMhzH07c	2023-12-23	N	Series|JP/SEA|Japan Night Showdown|v. 3.0|2v2	
54	so	motoyama	su	akagai	1
183	so	motoyama	su	akagai	1
286	co	AOI	pe	mohikan	1
411	co	AOI	pe	mohikan	1

Xw8pn1R3jV4	2023-09-03	N	Womble|Series|v. 2.0|EU	
540	so	FaceBreaker	ak	Edward Yolag	2
680	so	FaceBreaker	ak	Edward Yolag	1
867	so	FaceBreaker	ak	Edward Yolag	2
1246	ko	Exslide	su	VermaxenTheMad	2
1393	ko	Exslide	su	VermaxenTheMad	1
1558	ko	Exslide	su	VermaxenTheMad	2
1789	fu	Lozardo	ak	Edward Yolag	1
1907	fu	Lozardo	ak	Edward Yolag	1
2474	so	FaceBreaker	ko	Exslide	1
2590	so	FaceBreaker	ko	Exslide	2
2755	so	FaceBreaker	ko	Exslide	2
3111	fu	Lozardo	ko	Exslide	1
3274	fu	Lozardo	ko	Exslide	2
3418	fu	Lozardo	ko	Exslide	1
3636	fu	Lozardo	ko	Exslide	1
3963	co	Lozardo	ay	Logec	2
4092	co	Lozardo	ay	Logec	2
4287	co	Lozardo	ay	Logec	2

wpuGiSKVyl8	2023-09-10	N	Womble|Series|v. 2.0|EU	
503	ko	Kemo	ko	Exslide	2
657	ko	Kemo	ko	Exslide	2
940	ay	Logec	ak	Edward Yolag	1
1051	ay	Logec	ak	Edward Yolag	1
1376	ak	Edward Yolag	ko	Kemo	1
1549	ak	Edward Yolag	ko	Kemo	1
1731	so	FaceBreaker	ko	Exslide	2
1933	so	FaceBreaker	ko	Exslide	2
2279	co	Lozardo	ay	Logec	2
2425	co	Lozardo	ay	Logec	1
2771	co	Lozardo	ay	Logec	2
2912	co	Lozardo	ay	Logec	2
3168	ak	Edward Yolag	ko	Exslide	1
3283	ak	Edward Yolag	ko	Exslide	1
3611	fu	Lozardo	ak	Edward Yolag	2
3701	fu	Lozardo	ak	Edward Yolag	2
3857	fu	Lozardo	ak	Edward Yolag	1
3979	fu	Lozardo	ak	Edward Yolag	2
4245	ay	Logec	ak	Edward Yolag	1
4403	ay	Logec	ak	Edward Yolag	1
4585	ay	Logec	ak	Edward Yolag	1

hMQwf8vO_BM	2024-01-14	N	v. 3.0|EU|The Hollow Night|Series	
1441	ko	Exslide	co	Rastko	1
1565	ko	Exslide	co	Rastko	1
1867	bo	opportunist	ak	Edward Yolag	2
2012	bo	opportunist	ak	Edward Yolag	2
2490	bo	opportunist	co	Rastko	1
2701	bo	opportunist	co	Rastko	1
3044	ko	Exslide	ak	Edward Yolag	2
3232	ko	Exslide	ak	Edward Yolag	1
3374	ko	Exslide	ak	Edward Yolag	1
3609	ko	Exslide	ak	Edward Yolag	2
3776	ko	Exslide	ak	Edward Yolag	2
4011	ko	Exslide	bo	opportunist	1
4173	ko	Exslide	bo	opportunist	1
4272	ko	Exslide	bo	opportunist	1
4657	ak	Edward Yolag	ko	Exslide	1
4788	ak	Edward Yolag	ko	Exslide	1
4956	ak	Edward Yolag	ko	Exslide	2
5196	ak	Edward Yolag	ko	Exslide	2
5397	ak	Edward Yolag	ko	Exslide	1

InZI_1HWzJ0	2024-01-21	N	v. 3.0|EU|The Hollow Night|Series	
1131	so	FaceBreaker	ko	nulladept	1
1235	so	FaceBreaker	ko	nulladept	1
1750	su	Edward Yolag	bo	Elesia	1
1923	su	Edward Yolag	bo	Elesia	1
2303	fu	KusanagiBoi	co	Rastko	1
2401	fu	KusanagiBoi	co	Rastko	1
2660	bo	opportunist	co	Lozardo	2
2815	bo	opportunist	co	Lozardo	2
3121	so	FaceBreaker	ko	Exslide	2
3360	so	FaceBreaker	ko	Exslide	1
3541	so	FaceBreaker	ko	Exslide	2
3909	bo	opportunist	ko	nulladept	1
4058	bo	opportunist	ko	nulladept	1
4399	bo	FaceBreaker	bo	Elesia	1
4492	bo	FaceBreaker	bo	Elesia	1
4810	bo	opportunist	co	Rastko	1
5056	fu	KusanagiBoi	ol	Lozardo	2
5207	fu	KusanagiBoi	ol	Lozardo	1
5361	fu	KusanagiBoi	fu	Lozardo	2
5707	ak	Edward Yolag	ko	Exslide	2
5848	ak	Edward Yolag	ko	Exslide	2
6163	ak	Edward Yolag	bo	opportunist	1
6273	ak	Edward Yolag	bo	opportunist	1
6477	fu	KusanagiBoi	so	FaceBreaker	2
6610	su	KusanagiBoi	so	FaceBreaker	2
6929	ak	Edward Yolag	so	FaceBreaker	1
7099	ak	Edward Yolag	so	FaceBreaker	1
7335	fu	Lozardo	ko	Exslide	1
7464	fu	Lozardo	ko	Exslide	1
7602	fu	Lozardo	ko	Exslide	2
7733	fu	Lozardo	ko	Exslide	2
7905	fu	Lozardo	ko	Exslide	1
8175	ak	Edward Yolag	ko	Exslide	1
8353	ak	Edward Yolag	ko	Exslide	1
8471	ak	Edward Yolag	ko	Exslide	2
8585	ak	Edward Yolag	ko	Exslide	1
8854	fu	Lozardo	ak	Edward Yolag	2
9051	fu	Lozardo	ak	Edward Yolag	1
9194	fu	Lozardo	ak	Edward Yolag	1
9372	fu	Lozardo	ak	Edward Yolag	1

GoEQzUP7Jmk	2024-03-31	N	Series|JP/SEA|Japan Night Showdown|v. 3.0	
17	co	AOI	ko	ryesuta	2
177	co	AOI	ko	ryesuta	1
320	co	AOI	ko	ryesuta	2

5T8NJp3dZOE	2024-01-28	N	v. 3.0|EU|The Hollow Night|Series	
371	ko	nulladept	co	Rastko	1
482	ko	nulladept	co	Rastko	2
675	ko	nulladept	co	Rastko	1
941	ak	Edward Yolag	bo	opportunist	1
1059	ak	Edward Yolag	bo	opportunist	1
1506	so	FaceBreaker	ko	nulladept	1
1618	so	FaceBreaker	ko	nulladept	1
2032	ay	noobster646	ay	Nekuro	2
2129	ay	noobster646	ay	Nekuro	2
2540	ko	Exslide	pe	DonWippo	1
2632	ko	Exslide	pe	DonWippo	1
3054	bo	opportunist	co	Rastko	1
3216	bo	opportunist	co	Rastko	1
3511	bo	opportunist	pe	DonWippo	1
3804	so	FaceBreaker	pe	Nekuro	1
3986	so	FaceBreaker	pe	Nekuro	2
4154	so	FaceBreaker	pe	Nekuro	2
4539	ak	Edward Yolag	ko	Exslide	2
4701	ak	Edward Yolag	ko	Exslide	1
4885	ak	Edward Yolag	ko	Exslide	1
5125	so	FaceBreaker	bo	opportunist	1
5243	so	FaceBreaker	bo	opportunist	1
5596	ay	noobster646	ko	Exslide	2
5699	ay	noobster646	ko	Exslide	2
5911	so	FaceBreaker	ko	Exslide	2
6084	so	FaceBreaker	ko	Exslide	2
6353	ak	Edward Yolag	pe	Nekuro	1
6536	ak	Edward Yolag	pe	Nekuro	2
6653	ak	Edward Yolag	pe	Nekuro	2
6796	ak	Edward Yolag	pe	Nekuro	1
6873	ak	Edward Yolag	pe	Nekuro	2
7257	ak	Edward Yolag	ko	Exslide	2
7516	ak	Edward Yolag	ko	Exslide	2
7718	ak	Edward Yolag	ko	Exslide	1
7979	ak	Edward Yolag	ko	Exslide	2
8346	pe	Nekuro	ko	Exslide	2
8546	pe	Nekuro	ko	Exslide	2
8710	pe	Nekuro	ko	Exslide	1
8977	pe	Nekuro	ko	Exslide	2
9153	pe	Nekuro	ko	Exslide	1
9314	pe	Nekuro	ko	Exslide	2
9501	pe	Nekuro	ko	Exslide	2
9676	pe	Nekuro	ko	Exslide	1
9864	pe	Nekuro	ko	Exslide	2

CfcGByTRJFQ	2024-02-04	N	v. 3.0|EU|The Hollow Night|Series	
890	fu	KusanagiBoi	co	orangekatz	1
1057	fu	KusanagiBoi	co	orangekatz	2
1259	fu	KusanagiBoi	co	orangekatz	1
1839	pe	DonWippo	so	FaceBreaker	2
1976	pe	DonWippo	so	FaceBreaker	2
2208	ay	noobster646	ay	Nekuro	2
2299	ay	noobster646	ay	Nekuro	2
2539	ak	Edward Yolag	ol	PedroAndalus	1
2726	ak	Edward Yolag	ol	PedroAndalus	1
2926	su	KusanagiBoi	ko	Exslide	2
3053	su	KusanagiBoi	ko	Exslide	2
3375	ak	Edward Yolag	ko	Exslide	1
3578	ak	Edward Yolag	ko	Exslide	1
3803	so	FaceBreaker	pe	Nekuro	1
3976	so	FaceBreaker	pe	Nekuro	1
4277	ak	Edward Yolag	so	FaceBreaker	1
4450	ak	Edward Yolag	so	FaceBreaker	1
4645	ak	Edward Yolag	so	FaceBreaker	1
4956	bo	opportunist	ko	Exslide	2
5214	ko	Exslide	pe	Nekuro	1
5403	ko	Exslide	pe	Nekuro	1
5615	so	FaceBreaker	ko	Exslide	1
5795	so	FaceBreaker	ko	Exslide	2
5939	so	FaceBreaker	ko	Exslide	1
6145	so	FaceBreaker	ko	Exslide	2
6397	so	FaceBreaker	ko	Exslide	2
6843	ak	Edward Yolag	ko	Exslide	1
7093	ak	Edward Yolag	ko	Exslide	2
7343	ak	Edward Yolag	ko	Exslide	2
7500	ak	Edward Yolag	ko	Exslide	2
7760	ak	Edward Yolag	ko	Exslide	1
7904	ak	Edward Yolag	ko	Exslide	2
8094	ak	Edward Yolag	ko	Exslide	2
8253	ak	Edward Yolag	ko	Exslide	1
8454	ak	Edward Yolag	ko	Exslide	2

upDKaquSgs4	2024-02-18	N	v. 3.0|EU|The Hollow Night|Series	
1018	ak	Axus	pe	DonWippo	1
1113	ak	Axus	pe	DonWippo	1
1664	ko	AbraxasFGC	ak	Edward Yolag	2
1784	ko	AbraxasFGC	ak	Edward Yolag	2
1987	ay	Nekuro	ay	noobster646	1
2088	ay	Nekuro	ay	noobster646	1
2308	ak	Edward Yolag	pe	Nekuro	1
2401	ak	Edward Yolag	pe	Nekuro	1
2637	ak	Axus	ko	Exslide	2
2751	ak	Axus	ko	Exslide	2
3025	ak	Edward Yolag	ko	Exslide	1
3195	ak	Edward Yolag	ko	Exslide	1
3385	ak	Edward Yolag	ko	Exslide	2
3576	ak	Edward Yolag	ko	Exslide	1
3819	pe	Nekuro	pe	DonWippo	2
4017	pe	Nekuro	pe	DonWippo	1
4474	pe	Nekuro	pe	DonWippo	1
4675	ak	Axus	pe	Nekuro	2
4826	ak	Axus	pe	Nekuro	2
5034	pe	Nekuro	ko	Exslide	1
5204	pe	Nekuro	ko	Exslide	2
5422	pe	Nekuro	ko	Exslide	1
5669	pe	Nekuro	ko	Exslide	1
6022	ak	Edward Yolag	pe	Nekuro	2
6270	ak	Edward Yolag	pe	Nekuro	1
